income_group,year,indicator_code,avg_value
Low-income,2016,diab_tx_crude,20.243854592
Low-income,2016,diab_tx_std,21.682895795999997
Low-income,2016,htn_ctrl_crude,8.306000000000001
Low-income,2016,htn_ctrl_std,8.71
Low-income,2016,htn_tx_crude,21.14
Low-income,2016,htn_tx_std,22.868000000000002
Low-income,2017,diab_tx_crude,20.405853238
Low-income,2017,diab_tx_std,21.852518712000002
Low-income,2017,htn_ctrl_crude,8.826
Low-income,2017,htn_ctrl_std,9.28
Low-income,2017,htn_tx_crude,21.76
Low-income,2017,htn_tx_std,23.572
Low-income,2018,diab_tx_crude,20.570210355999997
Low-income,2018,diab_tx_std,22.027651402
Low-income,2018,htn_ctrl_crude,9.414
Low-income,2018,htn_ctrl_std,9.918
Low-income,2018,htn_tx_crude,22.416
Low-income,2018,htn_tx_std,24.29
Low-income,2019,diab_tx_crude,20.73905619
Low-income,2019,diab_tx_std,22.213109602
Low-income,2019,htn_ctrl_crude,10.056000000000001
Low-income,2019,htn_ctrl_std,10.626
Low-income,2019,htn_tx_crude,23.098000000000003
Low-income,2019,htn_tx_std,25.044
Low-income,2020,diab_tx_crude,20.918140456
Low-income,2020,diab_tx_std,22.409936032
Low-income,2021,diab_tx_crude,21.111976148
Low-income,2021,diab_tx_std,22.62051936
Low-income,2022,diab_tx_crude,21.31720451
Low-income,2022,diab_tx_std,22.844154208
Lower-middle-income,1990,diab_tx_crude,21.515012486
Lower-middle-income,1990,diab_tx_std,22.129701853
Lower-middle-income,1990,htn_ctrl_crude,3.4560000000000004
Lower-middle-income,1990,htn_ctrl_std,3.398
Lower-middle-income,1990,htn_tx_crude,13.405999999999999
Lower-middle-income,1990,htn_tx_std,13.801000000000002
Lower-middle-income,1991,diab_tx_crude,21.596451026
Lower-middle-income,1991,diab_tx_std,22.265934114
Lower-middle-income,1991,htn_ctrl_crude,3.472
Lower-middle-income,1991,htn_ctrl_std,3.415
Lower-middle-income,1991,htn_tx_crude,13.703
Lower-middle-income,1991,htn_tx_std,14.144
Lower-middle-income,1992,diab_tx_crude,21.690682375
Lower-middle-income,1992,diab_tx_std,22.411789038000002
Lower-middle-income,1992,htn_ctrl_crude,3.516
Lower-middle-income,1992,htn_ctrl_std,3.457
Lower-middle-income,1992,htn_tx_crude,14.026
Lower-middle-income,1992,htn_tx_std,14.52
Lower-middle-income,1993,diab_tx_crude,21.792526437000003
